"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"1:06:26.9110413 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 0, Length: 4,096"
"1:06:26.9111221 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 4,096, Length: 4,096"
"1:06:26.9111564 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 8,192, Length: 4,096"
"1:06:26.9111694 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 12,288, Length: 4,096"
"1:06:26.9111814 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 16,384, Length: 4,096"
"1:06:26.9112153 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 20,480, Length: 4,096"
"1:06:26.9112359 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 24,576, Length: 4,096"
"1:06:26.9112519 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 28,672, Length: 4,096"
"1:06:26.9112635 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 32,768, Length: 4,096"
"1:06:26.9112930 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 36,864, Length: 4,096"
"1:06:26.9113050 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 40,960, Length: 4,096"
"1:06:26.9113162 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 45,056, Length: 4,096"
"1:06:26.9113274 AM","adksetup.exe","2784","ReadFile","C:\ADK_1607\adksetup.exe","SUCCESS","Offset: 49,152, Length: 4,096"
